id	sign_name	sign_reading	preferred_reading	period_id	provenience_id	language_id	meaning
285	U3	durux	1	NULL	NULL	NULL	n. bridge
286	IL2	dusu	1	NULL	NULL	NULL	n. standardized work basket
287	|ANSZE.LIBIR|	dusu2	1	NULL	NULL	NULL	n. type of donkey
288	GIN2	dux	1	NULL	NULL	NULL	
289	KWU858	dux	1	NULL	NULL	NULL	n. a container
290	E	e	1	NULL	NULL	NULL	n. dike
291	|DU6.DU|	e11	1	NULL	NULL	NULL	v. to go down, out
292	E2	e2	1	NULL	NULL	NULL	n. house(hold)
293	|UD.DU|	e3	1	NULL	NULL	NULL	v. to go up, out
294	IB	eb	1	NULL	NULL	NULL	n. (temple) oval
295	TUM	eb2	1	NULL	NULL	NULL	n. gurtle, belt
296	|EN.TI|	ebih	1	NULL	NULL	NULL	gn. Ebih
297	|SZE3.MAH|	ebih2	1	NULL	NULL	NULL	gn. Ebih?; n.  heavy rope
298	A2	ed	1	NULL	NULL	NULL	
299	EDIN	edin	1	NULL	NULL	NULL	n. steppe
300	SZE3	egi	1	NULL	NULL	NULL	
301	|MUNUS.SZE3|	egi2	1	NULL	NULL	NULL	
302	EGIR	egir	1	NULL	NULL	NULL	adj. after, back, behind
303	SZE3	egir2	1	NULL	NULL	NULL	
304	EGI2	egir3	1	NULL	NULL	NULL	
305	MURGU	egir5	1	NULL	NULL	NULL	adj. after, back, behind
306	SIG4	egir6	1	NULL	NULL	NULL	adj. after, back, behind
307	KWU733	egirx	1	NULL	NULL	NULL	adj. after, back, behind
308	AH	eh	1	NULL	NULL	NULL	n. louse
309	EL	el	1	NULL	NULL	NULL	
310	|ILxKAR2|	el4	1	NULL	NULL	NULL	
311	NIM	elam	1	NULL	NULL	NULL	gn. Elam
312	BIR	ellag2	1	NULL	NULL	NULL	n. kidneys
313	IM	em	1	NULL	NULL	NULL	
314	EME	eme	1	NULL	NULL	NULL	n. tongue, speech, plow's share
315	|MUNUS.ANSZE|	eme3	1	NULL	NULL	NULL	n. female donkey
316	AMA	eme4	1	NULL	NULL	NULL	
317	|MUNUS.HUB2|	eme5	1	NULL	NULL	NULL	n. female donkey
318	|ANSZE.MUNUS|	eme6	1	NULL	NULL	NULL	n. female donkey
319	|UD.MUNUS.HUB2|	emerah	1	NULL	NULL	NULL	n. female donkey
320	EN	en	1	NULL	NULL	NULL	n. lord
