"Characterqid","Character","ABZ","AKS","ATU1","DP","ELLES","Ebs","FOS","HZL","KWU","LAK","LEC","Labat","MesZL","OAK","PI","Pea","REC","RSP","SEH","UET2","ZATU","ABZL","ŠL/HA","Char image"
"Q87556538","𒌒  CUNEIFORM SIGN UB (U+12312)","306","161","","","166","","[p 547-550]","152","478","LAK-284","200","306","504","161","298","","","185","306","239","572","288","306","        "
"Q87556540","𒌓  CUNEIFORM SIGN UD (U+12313)","381","221","","","217 / 206","","[p 762-766]","316","345","LAK-379 / LAK-400","225","381","596","221","179","","256","322","381","202","566 / 451","332","381","            "
"Q87556541","𒌔  CUNEIFORM SIGN UD KUSHU2 (U+12314)","392","225","","","","","[p 774-776]","","345","LAK-305","223","392","611","225","","","235","321","","","","333","392","     "
"Q87556544","𒌕  CUNEIFORM SIGN UD TIMES BAD (U+12315)","","","","","","","","","","","","381","596","","","","","","","","","","",""
"Q87556546","𒌖  CUNEIFORM SIGN UD TIMES MI (U+12316)","382","","","","","","","","","","","382","597","","","","","","","","","","382v","  "
"Q87556548","𒌗  CUNEIFORM SIGN UD TIMES U PLUS U PLUS U (U+12317)","52","","","","","","[p 70-74]","84","408","","","052","20","","","[l 161]","236","328","52","","","334","052","      "
"Q87556549","𒌘  CUNEIFORM SIGN UD TIMES U PLUS U PLUS U GUNU (U+12318)","","","","","","","","110","","","107","337","545","","","","","","","","","207a/207b","337","       "
"Q87556552","𒌙  CUNEIFORM SIGN UD GUNU (U+12319)","337*","","","","","","[p 766]","","257","LAK-157","","337","542","","","","92","","","","570","see 205b","337xn1","  "
"Q87556554","𒌚  CUNEIFORM SIGN UD SHESHIG (U+1231A)","52","","","","","","","","","","","52","20","","","","","","","","","","","  "
"Q87556556","𒌛  CUNEIFORM SIGN UD SHESHIG TIMES BAD (U+1231B)","52","","","","","","[p 74]","","","LAK-381","","","21","25b","","","237","","","","","","052xv","  "
"Q87556558","𒌜  CUNEIFORM SIGN UDUG (U+1231C)","577; 578","","","","","","[p 1033f]","","","","112-b","577","833","","","","","","","","","442","577; 578","    "
"Q87556559","𒌝  CUNEIFORM SIGN UM (U+1231D)","134","100","","","","","[p 315-319]","98","189","","60","134","238","100","","[l 184f]","","274","134","","","113","134","       "
"Q87556561","𒌞  CUNEIFORM SIGN UM TIMES LAGAB (U+1231E)","","","","","","","","","","","","136, 316","245","","","","","","","","","","136; 316v1","  "
"Q87556563","𒌟  CUNEIFORM SIGN UM TIMES ME PLUS DA (U+1231F)","137","","","","","","","","","","","137","241","","","","","","","","","","137","  "
"Q87556565","𒌠  CUNEIFORM SIGN UM TIMES SHA3 (U+12320)","","","","","","","","","","","","135","244","","","","","","","","","","135",""
"Q87556568","𒌡  CUNEIFORM SIGN UM TIMES U (U+12321)","","","","","","","","to 109","","","","135a","239","","","[l 193f]","","","","","","","135a","  "
"Q87556570","𒌢  CUNEIFORM SIGN UMBIN (U+12322)","92b","","354","75,I","169","","[p 215]","166","403","LAK-289","194","092b","160","","121","","","62","","","581","301","092b","      "
"Q87556573","𒌣  CUNEIFORM SIGN UMUM (U+12323)","","","325","","085","[l 12]","[p 676]","102","308","LAK-155","80","338","547","190","","","89","361","","94 / 93","582","215","338","  "
"Q87556575","𒌤  CUNEIFORM SIGN UMUM TIMES KASKAL (U+12324)","","190","","","","","","","","","","338","547","190","","","","","","","","","338n1","      "
"Q87556577","𒌥  CUNEIFORM SIGN UMUM TIMES PA (U+12325)","","","376","","087","","","","","LAK-156","","338","547","","","","","","","94","484","","338n2","  "
"Q87556578","𒌦  CUNEIFORM SIGN UN (U+12326)","312","165","","","356","[l 45]","[p 560-566]","","849","LAK-729","88","312","500","","282","","420","136","312","367","282","169","312","      "
"Q87556580","𒌧  CUNEIFORM SIGN UN GUNU (U+12327)","","","","","","","[p 560-566]","197","849","LAK-730","","312","501","165","","","421","136","","","","169","312",""
"Q87556582","𒌨  CUNEIFORM SIGN UR (U+12328)","575","310","","","323","","[p 1031-1033]","51","852","LAK-664","112","575","828","310","","","438","238","575","284","586","400","575","          "
"Q87556584","𒌩  CUNEIFORM SIGN UR CROSSING UR (U+12329)","575a","","","","","","","51","","","","575a","","","","","","","","","","252","575a",""
"Q87556586","𒌪  CUNEIFORM SIGN UR SHESHIG (U+1232A)","","","","","","","[p 699]","","855","","","575b","829","","","","","","","","","220","575b","  "
"Q87556588","𒌫  CUNEIFORM SIGN UR2 (U+1232B)","203","131","","","250","","[p 450-453]","124","736","LAK-479","319","203","341","131","202","[l 658]","","376","203","382","588","072","203","         "
"Q87556591","𒌬  CUNEIFORM SIGN UR2 TIMES A PLUS HA (U+1232C)","","","","","","","","","","","","204c","346","","","","","","","","","","204c","  "
"Q87556594","𒌭  CUNEIFORM SIGN UR2 TIMES A PLUS NA (U+1232D)","","","","","","","","","","","","203","341","","","","","","","","","","",""
"Q87556596","𒌮  CUNEIFORM SIGN UR2 TIMES AL (U+1232E)","","","","","","","","","","","","204","343","","","","","","","","","","204n","  "
"Q87556599","𒌯  CUNEIFORM SIGN UR2 TIMES HA (U+1232F)","185,5","","","","","","","","169","","","","347","","","","","","","","","","204d","  "
"Q87556601","𒌰  CUNEIFORM SIGN UR2 TIMES NUN (U+12330)","204","","","","","","[p 448]","","","","","181a","342","","","","","","","","","073","204v","  "
"Q87556603","𒌱  CUNEIFORM SIGN UR2 TIMES U2 (U+12331)","","","","","","","[p 453]","","170","LAK-482","","204a","344","","","","","","","","","074","204a","  "
"Q87556606","𒌲  CUNEIFORM SIGN UR2 TIMES U2 PLUS ASH (U+12332)","185","","","","","","","","","","64-a","185","345","","","[l 659]","","","","","","","204b","  "
"Q87556607","𒌳  CUNEIFORM SIGN UR2 TIMES U2 PLUS BI (U+12333)","","","","","","","","","","","","203","341","","","","","","","","","","",""
"Q87556610","𒌴  CUNEIFORM SIGN UR4 (U+12334)","594","321","","","247","","[p 1046f]","","922","LAK-472","133","594","835","321","","","299","393","","285","592","448","594","     "
"Q87556612","𒌵  CUNEIFORM SIGN URI (U+12335)","359","","","","103","","243","246","303","LAK-176","91","359","574","","263","","117","380","","414","594","224","359n1","     "
"Q87556614","𒌶  CUNEIFORM SIGN URI3 (U+12336)","","","","113,VII","","","[p 639-642]","79","29","LAK-031","25","331","535","","","","8","90*","","11","523","021a","331",""
"Q87556617","𒌷  CUNEIFORM SIGN URU (U+12337)","38","22","","","295","","","229","768","LAK-591","287","038","71","22","379","","","300","38","336","597","181","038","       "
"Q87556618","𒌸  CUNEIFORM SIGN URU TIMES A (U+12338)","","","","","","","[p 64]","","","LAK-597","","","81","23c","","[l 540]","361","303","","337","","","46xxx","  "
"Q87556621","𒌹  CUNEIFORM SIGN URU TIMES ASHGAB (U+12339)","","","","","","","","","","LAK-594","","038","71","","","","","","","","","","",""
"Q87556623","𒌺  CUNEIFORM SIGN URU TIMES BAR (U+1233A)","40","","","","315","[l 119]","[p 58f]","134","227","LAK-649","72","040","73","","62","[l 548]","389","","","309","580","186","040","    "
"Q87556626","𒌻  CUNEIFORM SIGN URU TIMES DUN (U+1233B)","","","","","","","","","","LAK-593","","038","71","","","","","","","","","","",""
"Q87556628","𒌼  CUNEIFORM SIGN URU TIMES GA (U+1233C)","","","","","","","[p 61]","","","","","042","76","","","","","","","","","183","042","  "
"Q87556629","𒌽  CUNEIFORM SIGN URU TIMES GAL (U+1233D)","","","","","","","","","","","","038","71","","","","","","","","","","",""
"Q87556631","𒌾  CUNEIFORM SIGN URU TIMES GAN2 TENU (U+1233E)","","","","","","","[p 59f]","","770","LAK-601","","043v","74","","","[l 539]","359","301","","","","187","043v","  "
"Q87556634","𒌿  CUNEIFORM SIGN URU TIMES GAR (U+1233F)","","","","","","","[p 64]","","","LAK-603","289 / 288","049","83","","","[l 542]","","","","","","191","049","  "
"Q87556636","𒍀  CUNEIFORM SIGN URU TIMES GU (U+12340)","","","","","","","63","","771","LAK-602","290","046","84","","","[l 545]","360","302*","","","","185","046","   "
"Q87556638","𒍁  CUNEIFORM SIGN URU TIMES HA (U+12341)","","","","","","","[p 64]","","","","","047","82","","","[l 540]","","","","","","190","047","  "
"Q87556640","𒍂  CUNEIFORM SIGN URU TIMES IGI (U+12342)","","","","59,V","","","[p 62]","","228","","71","044","79","","","[l 548a]","","55 / 281","","","","184","044","    "
"Q87556641","𒍃  CUNEIFORM SIGN URU TIMES IM (U+12343)","","","","","","","","","","","","038","71","","","","","","","","","","",""
"Q87556643","𒍄  CUNEIFORM SIGN URU TIMES ISH (U+12344)","","","","","","","","","","LAK-596","","038","71","","","","","","","","","","",""
"Q87556645","𒍅  CUNEIFORM SIGN URU TIMES KI (U+12345)","","","","","","","","","","","","038","71","","","","","","","","","","",""
"Q87556648","𒍆  CUNEIFORM SIGN URU TIMES LUM (U+12346)","","","","","","","","","","","","038","71","","","","","","","","","","",""
"Q87556650","𒍇  CUNEIFORM SIGN URU TIMES MIN (U+12347)","","24","","","314","[l 15]","[p 63f]","","226","LAK-648","288","049*","80","24","","[l 546f]","","269","","","229","189","49x","    "
"Q87556653","𒍈  CUNEIFORM SIGN URU TIMES PA (U+12348)","","","","","","","","","","","","038","71","","","","","","","","","","",""
"Q87556655","𒍉  CUNEIFORM SIGN URU TIMES SHE (U+12349)","","","","","","","","","","","","041'","71","","","","","","","","","","",""
"Q87556658","𒍊  CUNEIFORM SIGN URU TIMES SIG4 (U+1234A)","","","","","","","","","","LAK-595","","038","71","","","","","","","","","","",""
"Q87556660","𒍋  CUNEIFORM SIGN URU TIMES TU (U+1234B)","","","","","","","[p 58]","","","","","039","72","","","","","","","","","188","039","  "
"Q87556662","𒍌  CUNEIFORM SIGN URU TIMES U PLUS GUD (U+1234C)","","","","","","","","","","","","045","78","","","","","","","","","","045","  "
"Q87556664","𒍍  CUNEIFORM SIGN URU TIMES UD (U+1234D)","43","23","","","","","[p 77]","","","LAK-598","291","043","77","","","[l 541]","","","","","","","043","    "
"Q87556666","𒍎  CUNEIFORM SIGN URU TIMES URUDA (U+1234E)","41","","","","318","","[p 60f]","229","229","LAK-716","70","041","75","","","","","282","","","","182","041","    "
"Q87556667","𒍏  CUNEIFORM SIGN URUDA (U+1234F)","132","98","557","","297","","[p 308-310]","109","831","LAK-604","298","132","230","98","355","[l 190ff]","","239*","","338","602","111","132","     "
"Q87556670","𒍐  CUNEIFORM SIGN URUDA TIMES U (U+12350)","","","","","","","","to 109","","","","132n1","","","","","","","","","","","132n1",""
"Q87556672","𒍑  CUNEIFORM SIGN USH (U+12351)","211","138","","","034","","[p 482-486]","132","711","LAK-058","285","211","381","138","42","","","415","211","53","604 / 228","068","211","        "
"Q87556673","𒍒  CUNEIFORM SIGN USH TIMES A (U+12352)","211a","","","","","","[p 491]","","","","","211a","384","","","","","","","","","071","211b","   "
"Q87556675","𒍓  CUNEIFORM SIGN USH TIMES KU (U+12353)","","","","","","","","","","","","211n2","383","","","","","","","","","","211n2","  "
"Q87556677","𒍔  CUNEIFORM SIGN USH TIMES KUR (U+12354)","","","","","","","","","","","","211","381","","","","","","","","","","",""
"Q87556679","𒍕  CUNEIFORM SIGN USH TIMES TAK4 (U+12355)","51*","","","","037","","[p 70]","","712","LAK-060","","051","382","","","","","418","","","","069","211n","  "
"Q87556683","𒍖  CUNEIFORM SIGN USHX (U+12356)","372","","","","328","","","","","LAK-672a","","","583","","","","","","","","","","",""
"Q87556685","𒍗  CUNEIFORM SIGN USH2 (U+12357)","69","","","","","","","","","","","069","113","","348","","","","","40","606","","",""
"Q87556687","𒍘  CUNEIFORM SIGN USHUMX (U+12358)","","","","","","","","","","","","011 [p 47]","","","","","","","","","","","",""
"Q87556689","𒍙  CUNEIFORM SIGN UTUKI (U+12359)","","","","","","","","","","","","060a","","","","","","","","","","","060a",""
"Q87556692","𒍚  CUNEIFORM SIGN UZ3 (U+1235A)","122b","","","","056","[l 67]","[p 284f]","23","70","LAK-778","18","122b","203","","244 / 245","[l 875]","51","400","122b","275","574","054","122b","      "
"Q87556695","𒍛  CUNEIFORM SIGN UZ3 TIMES KASKAL (U+1235B)","122c","","","","","","[p 285]","","","","","122c","204","","","","","","","","","","122c","  "
"Q87556696","𒍜  CUNEIFORM SIGN UZU (U+1235C)","171","121","","","193","","[p 414f]","203","692","LAK-350","323-a","171","311","","","","","","","213","","134","171","       "
"Q87556699","𒍝  CUNEIFORM SIGN ZA (U+1235D)","586","316","","71,I","395","","[p 1037]","366","","LAK-797","134","586","851","316","","","","77","586","","","474","586","      "
"Q87556700","𒍞  CUNEIFORM SIGN ZA TENU (U+1235E)","379; 380","","","","","","35176 [p 1082]","","","","","380","854","","","","","","","","","245","379_2","   "
"Q87556702","𒍟  CUNEIFORM SIGN ZA SQUARED TIMES KUR (U+1235F)","531; 588","","","","","","[p 954]","","","","","","855","","","","","","","","","","531; 588","  "
"Q87556705","𒍠  CUNEIFORM SIGN ZAG (U+12360)","332","185","","","165","","[p 643-647]","238","331","LAK-283","94","332","540","185","387","","","388","332","158","615","206","332","       "
"Q87556708","𒍡  CUNEIFORM SIGN ZAMX (U+12361)","","","","","396","","","","","","","","","","","","","","","","","","",""
"Q87556711","𒍢  CUNEIFORM SIGN ZE2 (U+12362)","147","109","","","287","[l 105]","[p 349-352]","108","824","LAK-538","306","147","259","109","","","","","147","","","126","147","        "
"Q87556712","𒍣  CUNEIFORM SIGN ZI (U+12363)","84","59","104","","246","","","33","125","LAK-468","115","084","140","59","","","297","455","84","258","617","041","084","        "
"Q87556715","𒍤  CUNEIFORM SIGN ZI OVER ZI (U+12364)","66","","","","","","","","127","","57","066","101","","","[l 453]","","456","","","","","066","    "
"Q87556717","𒍥  CUNEIFORM SIGN ZI3 (U+12365)","","","","","","","","","","","","536","810","","","","","","","","","","","  "
"Q87556719","𒍦  CUNEIFORM SIGN ZIB (U+12366)","395","228","","","","","[p 781f]","","","","","395","628","","","","","","395","","","","395","   "
"Q87556721","𒍧  CUNEIFORM SIGN ZIB KABA TENU (U+12367)","","","","","","","","","","","","395","628","","","","","","","","","","395v","  "
"Q87556723","𒍨  CUNEIFORM SIGN ZIG (U+12368)","190","128","","","","","[p 435]","","","","66-a","190","336","","","[l 638f]","","","190","","","140","190","   "
"Q87556726","𒍩  CUNEIFORM SIGN ZIZ2 (U+12369)","339","","297","","","","","241","","LAK-162b","","339","548","","","","","128","","95","618","211","339",""
"Q87556728","𒍪  CUNEIFORM SIGN ZU (U+1236A)","6","5","","579,II","171","","[p 6-10]","209","409","LAK-291","6","006 [p 43]","15","5","","","","141","6","224","","304","006","         "
"Q87556729","𒍫  CUNEIFORM SIGN ZU5 (U+1236B)","","","364","","062","","","","","LAK-117","","181","324","","","","","","","341","39","","",""
"Q87556731","𒍬  CUNEIFORM SIGN ZU5 TIMES A (U+1236C)","","","","","","","","","","","","181","324","125a","","","","","","","","","181n","  "
"Q87556733","𒍭  CUNEIFORM SIGN ZUBUR (U+1236D)","364/5,2-3","","","","","","","","","","","364n","648","","","","","","","","","","364n","  "
"Q87556735","𒍮  CUNEIFORM SIGN ZUM (U+1236E)","555","299","","","273","[l 83]","[p 994f]","300","791","LAK-520","139","555","884","299","","","","175","","","","456","555","          "
"Q87556736","𒍯  CUNEIFORM SIGN KAP ELAMITE (U+1236F)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556738","𒍰  CUNEIFORM SIGN AB TIMES NUN (U+12370)","","","","","","","","","","","","","224","","","","","","","","","","",""
"Q87556741","𒍱  CUNEIFORM SIGN AB2 TIMES A (U+12371)","","","","","","","","284","","","","","680","","","","","","","","","","426a","  "
"Q87556743","𒍲  CUNEIFORM SIGN AMAR TIMES KUG (U+12372)","","","","","","","","","","","","","697","","","","","","","","","","","  "
"Q87556745","𒍳  CUNEIFORM SIGN DAG KISIM5 TIMES U2 PLUS MASH (U+12373)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556748","𒍴  CUNEIFORM SIGN DAG3 (U+12374)","","","","","","","","","","","","","386","","","","","","","","","","",""
"Q87556751","𒍵  CUNEIFORM SIGN DISH PLUS SHU (U+12375)","","","","","","","","","","","","","811","","","","","","","","","","536",""
"Q87556752","𒍶  CUNEIFORM SIGN DUB TIMES SHE (U+12376)","","","","","","","","","","","","","243","","","","","","","","","","",""
"Q87556754","𒍷  CUNEIFORM SIGN EZEN TIMES GUD (U+12377)","","","","","","","[p 391]","","","","","","278","","","","","","","","","155","","  "
"Q87556757","𒍸  CUNEIFORM SIGN EZEN TIMES SHE (U+12378)","","","","","","","","107","","","","","282","","","","","","","","","","","  "
"Q87556759","𒍹  CUNEIFORM SIGN GA2 TIMES AN PLUS KAK PLUS A (U+12379)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556761","𒍺  CUNEIFORM SIGN GA2 TIMES ASH2 (U+1237A)","","","","","","","","","","LAK-677","","","408","","","","","","","","","252","257",""
"Q87556763","𒍻  CUNEIFORM SIGN GE22 (U+1237B)","","","","","","","[p 1065f]","","","","","","647","","","","","4","","","","","361",""
"Q87556765","𒍼  CUNEIFORM SIGN GIG (U+1237C)","","260","","","","[l 70]","[p 871f]","269","508","LAK-394","344","446","705","","","","","121","446","175","","350","446","  "
"Q87556767","𒍽  CUNEIFORM SIGN HUSH (U+1237D)","","239","","","","","[p 815f]","348","474","LAK-240","242","402","645","","","","161","467","","","","294","402","   "
"Q87556769","𒍾  CUNEIFORM SIGN KA TIMES ANSHE (U+1237E)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556771","𒍿  CUNEIFORM SIGN KA TIMES ASH3 (U+1237F)","36","","","","","","","150","","","","","67","","","","","","","","","","","  "
"Q87556773","𒎀  CUNEIFORM SIGN KA TIMES GISH (U+12380)","","","","","","","","139","","","","","41","","","","","","","","","","023n3","  "
"Q87556776","𒎁  CUNEIFORM SIGN KA TIMES GUD (U+12381)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556777","𒎂  CUNEIFORM SIGN KA TIMES HI TIMES ASH2 (U+12382)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556780","𒎃  CUNEIFORM SIGN KA TIMES LUM (U+12383)","34","","","","","","","142","","","","","70","","","","","","","","","","","  "
"Q87556782","𒎄  CUNEIFORM SIGN KA TIMES PA (U+12384)","","","","","","","","138","","","","","40","","","","","","","","","","023n2","  "
"Q87556784","𒎅  CUNEIFORM SIGN KA TIMES SHUL (U+12385)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556786","𒎆  CUNEIFORM SIGN KA TIMES TU (U+12386)","","","","","","","[p 44]","","","","","","27","","","","","","","","","","15xx",""
"Q87556789","𒎇  CUNEIFORM SIGN KA TIMES UR2 (U+12387)","","","","","","","","137","","","","","36","","","","","","","","","","022xn1","  "
"Q87556791","𒎈  CUNEIFORM SIGN LAGAB TIMES GI (U+12388)","","","","","","","","","","","","","763","","","","","","","","","","488a",""
"Q87556792","𒎉  CUNEIFORM SIGN LU2 SHESHIG TIMES BAD (U+12389)","","","","","","","","","83","LAK-345","","","","","","","","","","","","","",""
"Q87556795","𒎊  CUNEIFORM SIGN LU2 TIMES ESH2 PLUS LAL (U+1238A)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556797","𒎋  CUNEIFORM SIGN LU2 TIMES SHU (U+1238B)","","","","","","","","","","","","","524","","","","","","","","","","",""
"Q87556799","𒎌  CUNEIFORM SIGN MESH (U+1238C)","","288","","","","","[p 954-957]","360","","","120","533","754","","","","","","533","","","","533, 533v1","      "
"Q87556800","𒎍  CUNEIFORM SIGN MUSH3 TIMES ZA (U+1238D)","","","","","","","","","","","","","156","","","","","","","","","","",""
"Q87556803","𒎎  CUNEIFORM SIGN NA4 (U+1238E)","","143","","513,VII","266","","[p 507-509]","73","779","LAK-511","151","229","385","143","","","","149*","229","407","","262","229n","   "
"Q87556805","𒎏  CUNEIFORM SIGN NIN (U+1238F)","","","","","","","","","","","","","","","","","","","","","","","","  "
"Q87556808","𒎐  CUNEIFORM SIGN NIN9 (U+12390)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556810","𒎑  CUNEIFORM SIGN NINDA2 TIMES BAL (U+12391)","","","","","","","[p 425]","","","","","","319","","","","","","","","","","178",""
"Q87556811","𒎒  CUNEIFORM SIGN NINDA2 TIMES GI (U+12392)","","","","","","","[p 425]","","","","","","322","","","","","","","","","","180",""
"Q87556813","𒎓  CUNEIFORM SIGN NU11 ROTATED NINETY DEGREES (U+12393)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556815","𒎔  CUNEIFORM SIGN PESH2 ASTERISK (U+12394)","","","","","","","","","","","","","","","","","","","","","","","","   "
"Q87556818","𒎕  CUNEIFORM SIGN PIR2 (U+12395)","","227","","","","","","","","","","","613","","","","","","","","","","",""
"Q87556820","𒎖  CUNEIFORM SIGN SAG TIMES IGI GUNU (U+12396)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556822","𒎗  CUNEIFORM SIGN TI2 (U+12397)","396","231","","","","","[p 784]","335","446","LAK-359","","","633","","","","","","","","","","396","   "
"Q87556824","𒎘  CUNEIFORM SIGN UM TIMES ME (U+12398)","","","","","","","","","","","","","488","","","","","","","","","","315",""
"Q87556828","𒎙  CUNEIFORM SIGN U U (U+12399)","","274","","","","","929","296","","","","471","708","","","","","","471","","","363","471","  "
"Q87556863","𒐃  CUNEIFORM NUMERIC SIGN FIVE U (U+12410)","","","","","","","[p 1063]","347","","","398","475","714","","","","","","","","","376","","       "
"Q87556851","𒐃  CUNEIFORM NUMERIC SIGN FIVE DISH (U+1240A)","","324","","","","","[p 1057]","371","","","390 / 389","598a","861","324","","","","","","","","476","","      "
"Q87556838","𒐃  CUNEIFORM NUMERIC SIGN FIVE ASH (U+12403)","","","","","","","","","","","","","216","","","","","","","","","","125b","      "
"Q87556881","𒐃  CUNEIFORM NUMERIC SIGN FIVE GESH2 (U+12419)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556959","𒐃  CUNEIFORM NUMERIC SIGN FIVE BURU (U+12439)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556896","𒐃  CUNEIFORM NUMERIC SIGN FIVE GESHU (U+12422)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556917","𒐃  CUNEIFORM NUMERIC SIGN FIVE SHAR2 (U+12427)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556939","𒐃  CUNEIFORM NUMERIC SIGN FIVE SHARU (U+12431)","","","","","","","","","","","","409d","658","","","","","","","","","","409d","  "
"Q87557005","𒐃  CUNEIFORM NUMERIC SIGN FIVE ASH TENU (U+1244D)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87557019","𒐃  CUNEIFORM NUMERIC SIGN FIVE BAN2 (U+12454)","","","","","","","","","","","","","551","","","","","","","","","","341v","  "
"Q87557022","𒐃  CUNEIFORM NUMERIC SIGN FIVE BAN2 VARIANT FORM (U+12455)","","","","","","","","","","","","341","551","","","","","","","","","","341","   "
"Q87556868","𒐍  CUNEIFORM NUMERIC SIGN EIGHT U (U+12413)","","","","","","","[p 1067]","","","","","478","717","","","","","","","","","","","    "
"Q87556843","𒐍  CUNEIFORM NUMERIC SIGN EIGHT ASH (U+12406)","","","","","","","","","","","","","219","","","","","","","","","","125e","     "
"Q87556886","𒐍  CUNEIFORM NUMERIC SIGN EIGHT GESH2 (U+1241C)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556857","𒐍  CUNEIFORM NUMERIC SIGN EIGHT DISH (U+1240D)","","","","","","","","","","","","598d","864","","","","","","","","","479","","      "
"Q87556923","𒐍  CUNEIFORM NUMERIC SIGN EIGHT SHAR2 (U+1242A)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556986","𒐍  CUNEIFORM NUMERIC SIGN EIGHT VARIANT FORM USSU3 (U+12445)","","","","","","","","","","","","","538","","","","","","","","","","331c",""
"Q87556984","𒐍  CUNEIFORM NUMERIC SIGN EIGHT VARIANT FORM USSU (U+12444)","","","","","","","","374","","","392","598d","867","","","","","","","","","","","  "
"Q87556965","𒐏  CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU (U+1243C)","","","","","","","[p 1061]","370","","","388","597","860","","","","","","","","","472","597","     "
"Q87556835","𒐏  CUNEIFORM NUMERIC SIGN FOUR ASH (U+12402)","","","","","","","","","","","","124","215","","","","","","","","","","","  "
"Q87556879","𒐏  CUNEIFORM NUMERIC SIGN FOUR GESH2 (U+12418)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556895","𒐏  CUNEIFORM NUMERIC SIGN FOUR GESHU (U+12421)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556955","𒐏  CUNEIFORM NUMERIC SIGN FOUR BURU (U+12438)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556849","𒐏  CUNEIFORM NUMERIC SIGN FOUR DISH (U+12409)","","","","","","","","","","","","586","851","","","","","","","","","","","   "
"Q87556916","𒐏  CUNEIFORM NUMERIC SIGN FOUR SHAR2 (U+12426)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556861","𒐏  CUNEIFORM NUMERIC SIGN FOUR U (U+1240F)","","","","","","","","","","","397","473","713","","","","","","","","","374","","     "
"Q87556936","𒐏  CUNEIFORM NUMERIC SIGN FOUR SHARU (U+12430)","","","","","","","","","","","","409c","657","","","","","","","","","","409c","  "
"Q87556970","𒐏  CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU A (U+1243E)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556973","𒐏  CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU B (U+1243F)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556968","𒐏  CUNEIFORM NUMERIC SIGN FOUR VARIANT FORM LIMMU4 (U+1243D)","","","","","","","","","","","","","506","","","","","","","","","","325b","   "
"Q87557016","𒐏  CUNEIFORM NUMERIC SIGN FOUR BAN2 (U+12452)","","","","","","","","","","","","","550","","","","","","","","","","340v","   "
"Q87557017","𒐏  CUNEIFORM NUMERIC SIGN FOUR BAN2 VARIANT FORM (U+12453)","","","","","","","","","","","","340","550","","","","","","","","","","340",""
"Q87557002","𒐏  CUNEIFORM NUMERIC SIGN FOUR ASH TENU (U+1244C)","","","","","","","","","","","","","854","","","","","","","","","","",""
"Q87556865","𒐑  CUNEIFORM NUMERIC SIGN SIX U (U+12411)","","","","","","","[p 1067]","","","","","476","715","","","","","","","","","","","     "
"Q87556853","𒐑  CUNEIFORM NUMERIC SIGN SIX DISH (U+1240B)","","325","","","","","[p 1057]","372","","","","598b","862","","","","","","","","","477","","      "
"Q87556882","𒐑  CUNEIFORM NUMERIC SIGN SIX GESH2 (U+1241A)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556840","𒐑  CUNEIFORM NUMERIC SIGN SIX ASH (U+12404)","","","","","","","","","","","","","217","","","","","","","86","","","125c","     "
"Q87556919","𒐑  CUNEIFORM NUMERIC SIGN SIX SHAR2 (U+12428)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87557007","𒐑  CUNEIFORM NUMERIC SIGN SIX ASH TENU (U+1244E)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556974","𒐑  CUNEIFORM NUMERIC SIGN SIX VARIANT FORM ASH9 (U+12440)","","","","","","","","","","LAK-134","","331a","536","","","","","118","","","","","","    "
"Q87556867","𒐒  CUNEIFORM NUMERIC SIGN SEVEN U (U+12412)","","","","","","","[p 1067]","","","","","477","716","","","","","","","","","","","    "
"Q87556884","𒐒  CUNEIFORM NUMERIC SIGN SEVEN GESH2 (U+1241B)","","","","","","","","","","","","","","","","","","","","","","","",""
"Q87556841","𒐒  CUNEIFORM NUMERIC SIGN SEVEN ASH (U+12405)","","","","","","","","","","","","","218","","","","","","","87","","","125d","      "
